Name,Count,Serifs,Monospaced,SerifedI
Inconsolata,14,some,yes,yes
Consolas,13,some,yes,yes
Source Code Pro,8,no,yes,yes
dejavu,5,no,yes,yes
menlo,5,some,yes,yes
ubuntu mono,5,no,yes,yes
courrier,5,yes,yes,yes
hack,4,some,yes,yes
fira,4,no,yes,yes
sf mono,4,yes,yes,yes
losevka,3,some,yes,yes
pragmata pro,3,no,yes,yes
annoymous pro,3,some,yes,yes
proggy clean,3,no,yes,no
monaco,3,some,yes,yes
terminus,2,some,yes,yes
comic sans,2,no,no,no
terminal,2,no,yes,yes
Luxi Mono,1,no,yes,yes
Dina,1,no,yes,yes
APL 385,1,some,yes,yes
Moniod,1,some,yes,yes
Roboto,1,no,yes,yes
Lucida,1,yes,yes,no
Hermit,1,no,yes,yes
Meslo,1,some,yes,yes
Segoe,1,no,no,no
Geneva,1,no,no,no
